Date,Open,High,Low,Close,SSC,plot_dowPeak,plot_dowTrough,last_dow_profit,ATR20,LDV4,LWV4,MVF
10/03/2023,55325,56190,55270,56150,nan,55982,54771,-28,461.85,0,1,2.59248
9/03/2023,54855,55401,54771,55301,54771,55982,nan,-342,449.3,0,0,3.66038
8/03/2023,54935,55112,54850,54911,nan,55982,nan,-342,437.7,0,0,4.13353
7/03/2023,55700,55700,55000,55022,nan,56020,nan,-342,446.1,0,0,3.94188
6/03/2023,55878,55982,55751,55769,55982,56020,nan,-342,473.05,1,0,2.63025
3/03/2023,55899,55899,55580,55721,55580,56395,nan,-342,525.65,1,0,4.08311
2/03/2023,55777,55925,55705,55739,nan,56395,nan,-342,566,1,0,4.1453
1/03/2023,55760,56020,55627,55830,56020,56395,nan,-342,604.95,1,0,4.27952
28/02/2023,55402,55798,55132,55756,55132,56395,nan,-342,617.8,1,0,5.13129
27/02/2023,55397,55497,55290,55476,nan,56395,nan,-342,605.95,0,0,4.85941
24/02/2023,55707,55790,55380,55432,nan,56395,nan,-342,612.85,0,0,2.59775
23/02/2023,55954,56010,55511,55587,nan,56395,56003,-342,608.3,0,0,2.54731
22/02/2023,56169,56395,56027,56083,56395,56345,56003,293,597.2,1,0,1.65353
21/02/2023,56191,56310,56003,56168,56003,56999,nan,-632,599.1,1,0,1.69566
20/02/2023,56209,56345,56188,56213,56345,56999,nan,-632,598.95,1,0,1.37092
17/02/2023,55975,56287,55691,56257,55691,56999,nan,-632,608.25,1,0,2.24333
16/02/2023,56225,56279,55910,56228,nan,57419,nan,-632,599.85,1,0,1.85891
14/02/2023,56611,56999,56478,56750,56999,57419,nan,-632,568.65,1,0,0.479295
13/02/2023,56762,56920,56470,56497,56470,57419,nan,-632,554.5,0,0,0.0477901
10/02/2023,56760,56865,56496,56741,nan,57419,56638,-632,556.75,1,0,0.431787
9/02/2023,57238,57419,56750,56852,57419,nan,56638,-630,557.3,1,0,0.179413
8/02/2023,57220,57384,56986,57215,nan,nan,56638,-630,544.25,0,0,0.400245
7/02/2023,57000,57380,56950,57257,nan,nan,56620,-630,539.85,0,0,0.536179
6/02/2023,56638,57195,56638,56955,56638,nan,56620,-630,539.95,0,0,0.55658
3/02/2023,57865,58000,56801,57946,nan,nan,56620,-630,499.55,0,0,1.97598
2/02/2023,58826,58826,57700,58114,58826,nan,56620,-630,477.35,0,0,0.712393
1/02/2023,57150,58099,57100,57952,nan,57270,56620,-630,445.05,0,0,1.47018
31/01/2023,56860,57270,56620,57242,56620,57270,56640,5807,426.2,0,0,1.08661
30/01/2023,56900,57149,56720,56782,57149,nan,56122,-672,402.85,1,0,0.10919
27/01/2023,56760,56985,56640,56857,56640,nan,56122,-672,394.65,1,0,0.381659
25/01/2023,56940,57021,56702,56962,nan,nan,56122,-672,394.7,1,0,0.456445
24/01/2023,56986,57125,56775,56969,57125,nan,56122,-672,402.1,0,0,0.340536
23/01/2023,56751,56920,56514,56815,nan,nan,56122,-672,419,0,0,0.52979
20/01/2023,56641,56850,56560,56658,nan,nan,56122,-672,410.1,1,0,0.172968
19/01/2023,56305,56588,56245,56546,nan,nan,55522,-672,410.1,1,0,0.53231
18/01/2023,56303,56550,56122,56286,56122,nan,55522,-672,426.55,1,0,0.291369
17/01/2023,56479,56521,56305,56352,nan,nan,55522,-672,423,0,0,0.0834043
16/01/2023,56467,56562,56330,56482,56562,nan,55522,-672,448.95,0,0,0.269112
13/01/2023,55915,56370,55900,56324,nan,nan,55522,-672,452.45,0,0,0.752787
12/01/2023,55792,55990,55610,55875,nan,nan,55051,-672,448.15,1,0,0.474273
11/01/2023,55819,55930,55522,55693,55522,nan,55051,-672,468.75,1,0,0.30704
10/01/2023,55920,55950,55640,55712,nan,nan,55051,-672,463.85,0,0,0.129236
9/01/2023,55800,56175,55800,55864,56175,nan,54530,-672,494.1,0,0,0.114564
6/01/2023,55382,55790,55291,55743,nan,nan,54530,-672,484.2,1,0,0.810864
5/01/2023,55794,55920,55051,55290,55051,nan,54530,-672,477.7,0,1,0.432266
4/01/2023,55620,56010,55620,55767,56010,nan,54530,-672,447.45,0,1,0.263597
3/01/2023,55280,55800,55280,55530,nan,nan,54530,-672,457.75,0,1,0.450207
2/01/2023,55052,55200,55040,55178,nan,nan,54530,-672,483.2,1,1,0.2501
30/12/2022,54975,55125,54860,55017,nan,nan,54530,-672,487.75,1,1,0.285366
29/12/2022,54720,55018,54672,54971,nan,nan,54441,-672,523.6,1,0,0.543923
28/12/2022,54923,54950,54530,54761,54530,nan,54441,-672,526.4,1,0,0.421833
27/12/2022,54764,55365,54692,54997,55365,nan,54441,-672,524.15,1,0,0.554576
26/12/2022,54525,54748,54520,54677,nan,nan,53882,-672,517.5,0,0,0.287141
23/12/2022,54517,54745,54441,54574,54441,nan,53882,-672,523.35,0,0,0.243706
22/12/2022,55069,55117,54445,54521,nan,nan,53882,-672,523,0,0,0.139396
21/12/2022,54900,55220,54863,55071,55220,nan,53882,-672,509.75,0,0,0.377694
20/12/2022,54429,54995,54350,54898,nan,nan,53882,-672,504.8,0,0,0.998215
19/12/2022,54354,54490,54182,54260,nan,nan,52141,-672,490.75,0,0,0.143752
16/12/2022,54157,54414,54005,54300,nan,nan,52141,-672,497.5,0,0,0.543278
15/12/2022,54481,54481,53882,54107,53882,nan,52141,-672,491.3,0,0,0.415843
14/12/2022,54770,54890,54580,54674,nan,nan,52141,-672,474.45,0,0,0.171928
13/12/2022,54132,55047,54132,54743,55047,nan,52141,-672,477.75,0,0,1.11612
12/12/2022,54109,54294,54061,54132,nan,nan,52141,-672,456.3,1,0,0.131161
9/12/2022,54262,54400,54030,54295,nan,nan,52141,-672,468.8,0,0,0.488074
8/12/2022,53999,54201,53937,54051,nan,nan,52141,-672,486.75,0,1,0.210912
7/12/2022,53810,54033,53701,53987,nan,nan,52141,-672,494.05,0,1,0.529757
5/12/2022,54348,54348,53217,53347,nan,nan,52141,-672,513.7,0,1,0.243688
2/12/2022,53337,53458,53184,53265,nan,nan,52141,-672,468.6,0,1,0.15207
1/12/2022,52838,53462,52819,53238,nan,nan,52141,-672,490.7,0,0,0.787032
30/11/2022,52509,52710,52380,52480,nan,nan,52068,-672,471.9,1,0,0.190549
29/11/2022,52247,52595,52247,52308,nan,nan,52068,-672,468.35,0,0,0.116617
28/11/2022,52421,52696,52141,52173,52141,nan,52068,-672,468.3,0,0,0.0613344
25/11/2022,52665,52750,52405,52544,52750,nan,52068,-672,454.85,1,0,0.26454
24/11/2022,52500,52748,52500,52671,nan,nan,50000,-672,469.1,1,0,0.324657
23/11/2022,52349,52475,52068,52451,52068,nan,50000,-672,469.2,1,0,0.730205
22/11/2022,52475,52495,52237,52289,nan,nan,50000,-672,461.7,0,0,0.0994473
21/11/2022,52508,52590,52136,52292,nan,nan,50000,-672,472.8,0,0,0.298325
18/11/2022,52843,52990,52547,52588,nan,nan,50000,-672,459.25,0,0,0.0779646
17/11/2022,52950,52993,52777,52843,nan,nan,50000,-672,479.15,1,0,0.124898
16/11/2022,52992,53200,52942,53062,53200,nan,50000,-672,482.15,0,0,0.226151
15/11/2022,52743,53051,52675,52745,nan,nan,50000,-672,479.95,0,0,0.132714
14/11/2022,52318,52786,52300,52718,nan,nan,50000,-672,472.9,0,0,0.792898
11/11/2022,52050,52534,52050,52334,nan,nan,50000,-672,472.95,0,0,0.542668
10/11/2022,51541,52210,51481,52109,nan,nan,50000,-672,488.75,0,1,1.20517
9/11/2022,51450,51725,51315,51506,nan,nan,50000,-672,490.3,0,1,0.370831
8/11/2022,50710,51685,50606,51630,nan,nan,50000,-672,486.5,0,1,1.98334
7/11/2022,50862,51060,50831,50927,nan,nan,50000,-672,457.95,0,1,0.518632
4/11/2022,50350,50900,50310,50866,nan,50833,50000,-672,499.45,0,1,1.53828
3/11/2022,50500,50500,50000,50184,50000,50833,50161,-14,487.8,1,0,3.77213
2/11/2022,50560,50833,50535,50606,50833,nan,50161,-168,539.35,1,0,2.76495
1/11/2022,50351,50698,50277,50502,nan,nan,49808,-168,588.55,1,0,0.445527
31/10/2022,50266,50447,50161,50322,50161,nan,49808,-168,575.3,1,0,0.31994
28/10/2022,50765,50795,50165,50230,nan,nan,49808,-168,598.7,1,0,0.129405
27/10/2022,50715,50875,50576,50737,50875,nan,49808,-168,591.2,1,0,0.317323
26/10/2022,50867,50867,50610,50687,nan,nan,49808,-168,621.75,1,0,0.151913
25/10/2022,50530,50816,50336,50633,nan,nan,49808,-168,629.75,1,0,0.586574
24/10/2022,50700,50700,50517,50580,nan,nan,48980,-168,634.9,1,0,0.124555
21/10/2022,50069,50649,49808,50626,49808,nan,48980,-168,666.1,1,0,1.61577
20/10/2022,50100,50410,50065,50143,nan,nan,48980,-168,667.1,1,0,0.155555
19/10/2022,50397,50480,50069,50199,nan,nan,48980,-168,672.6,1,0,0.258969
18/10/2022,50364,50545,50310,50414,nan,nan,48980,-168,669.9,1,0,0.206292
17/10/2022,50382,50747,50334,50473,nan,nan,48980,-168,676.45,1,0,0.275395
14/10/2022,50794,50974,50174,50260,nan,nan,48980,-168,679.75,0,0,0.17111
13/10/2022,50891,51160,50400,50884,nan,nan,48980,-168,682.15,1,0,0.951183
12/10/2022,50814,51049,50762,50905,nan,nan,48980,-168,651.55,0,0,0.280915
11/10/2022,50915,51218,50710,51096,nan,nan,48980,-168,667.8,0,0,0.755441
10/10/2022,51685,51685,50901,51023,nan,nan,48980,-168,662.5,0,0,0.239108
7/10/2022,51904,52120,51637,51960,52120,nan,48980,-168,629,0,0,0.621632
6/10/2022,51836,52093,51790,51972,nan,nan,48980,-168,631.95,0,1,0.350189
4/10/2022,51000,51480,50800,50456,nan,nan,48980,-168,576.5,1,1,-0.582109
3/10/2022,50250,50250,50130,50165,nan,nan,48980,-168,533.9,1,1,0.744466
30/09/2022,49971,50689,49935,50094,nan,50175,48980,-168,533.8,0,1,0.987449
29/09/2022,49650,50130,49650,49994,nan,50175,nan,-686,522.95,0,1,1.55255
28/09/2022,49160,49890,48980,49750,48980,50175,nan,-686,525.85,0,1,2.88105
27/09/2022,49190,49499,49082,49319,nan,50175,nan,-686,500.55,0,1,2.64212
26/09/2022,49350,49688,49105,49150,nan,50175,nan,-686,507.15,0,1,3.21659
23/09/2022,50005,50057,49250,49401,nan,50780,nan,-686,504.95,0,1,3.90244
22/09/2022,49314,50175,49314,50000,50175,50780,nan,-686,493.7,0,0,3.77756
21/09/2022,49189,49569,49114,49443,nan,50780,nan,-686,471,1,0,5.00561
20/09/2022,49400,49457,49100,49175,nan,50780,nan,-686,462.2,1,0,5.03269
19/09/2022,49257,49410,49044,49302,nan,50780,nan,-686,467.8,0,0,5.141
16/09/2022,49220,49504,48951,49380,48951,50780,nan,-686,474.9,0,0,5.32088
15/09/2022,49942,49942,49170,49312,nan,50780,nan,-686,459.05,0,0,4.48532
14/09/2022,50069,50148,50000,50018,nan,50780,nan,-686,433,0,0,3.10641
13/09/2022,50525,50573,49972,50138,nan,50780,50007,-686,450.35,0,0,3.16067
12/09/2022,50505,50780,50378,50631,50780,nan,50007,422,458.15,1,0,2.81459
9/09/2022,50386,50739,50350,50529,nan,nan,50007,422,455.4,1,0,4.25026
8/09/2022,50470,50743,50201,50356,nan,50693,50007,422,461.25,1,0,4.53361
7/09/2022,50207,50535,50007,50506,50007,51846,nan,-448,454.8,1,0,4.90254
6/09/2022,50555,50693,50230,50281,50693,51846,nan,-448,444.45,1,0,4.30376
5/09/2022,50410,50522,50404,50433,nan,51846,nan,-448,452.75,1,0,3.97226
2/09/2022,50050,50587,50050,50368,nan,51846,nan,-448,464.65,0,0,4.64669
1/09/2022,50202,50293,49876,50070,49876,51846,nan,-448,515.95,0,0,4.10121
31/08/2022,50500,50661,50333,50414,nan,51846,nan,-448,553,0,0,3.22252
30/08/2022,51151,51164,50701,50737,nan,51846,nan,-448,555.25,0,0,2.51495
