date,open,high,low,close,volume,oi,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2025-04-10,91491.0,92245.0,90702.0,91595.0,11992,20613,ISB,,,,,9.96247692032798,0,,,,,,1.0,100975.0,100975.0,,,
2025-04-11,92000.0,94894.0,92000.0,94286.0,21906,17148,DB,,,,,9.152850329320918,0,,,,,,1.0,100975.0,100975.0,,,
2025-04-14,94746.0,95281.0,93575.0,94870.0,8385,16743,DB,,,,,7.597586625719618,0,94746.0,96965.0,93575.0,95037.0,0.0,1.0,100975.0,100975.0,,,
2025-04-15,94816.0,95098.0,94255.0,94774.0,10202,15576,ISB,,,,,5.6733117169048475,0,,,,,,1.0,100975.0,100975.0,,,
2025-04-16,94800.0,96965.0,94666.0,96250.0,18474,14660,DB,96965.0,96965.0,,high,4.754909851899549,1,,,,,,1.0,100975.0,96965.0,,,
2025-04-17,95500.0,95650.0,94148.0,95037.0,13318,14881,DB,94148.0,,94148.0,low,3.816762698704589,1,,,,,,1.0,96965.0,96965.0,,,
2025-04-21,95600.0,96470.0,94912.0,95247.0,11183,14833,DB,96470.0,96470.0,,high,6.318044081213664,1,95600.0,98080.0,94417.0,96441.0,0.0,1.0,96965.0,96470.0,,,
2025-04-22,95793.0,96444.0,94417.0,95879.0,17752,12678,DB,94417.0,,94417.0,low,6.806628961732453,1,,,,,,1.0,96470.0,96470.0,,,
2025-04-23,95429.0,98080.0,95425.0,97799.0,18564,11090,DB,98080.0,98080.0,,high,5.81169247776692,0,,,,,,1.0,96470.0,,94417.0,96470.0,96470.0
2025-04-24,97451.0,97770.0,96833.0,97511.0,10231,9509,ISB,,,,,4.421939928735701,0,,,,,,-1.0,94417.0,,94417.0,,
2025-04-25,97495.0,97631.0,95698.0,96441.0,9161,7091,ISB,,,,,4.7373503090874705,0,,,,,,-1.0,94417.0,,94417.0,,
2025-04-28,95869.0,96590.0,95492.0,96464.0,8250,4136,ISB,,,,,4.570029480837456,1,95869.0,97699.0,92226.0,93289.0,1.0,-1.0,94417.0,,94417.0,,
2025-04-29,96387.0,97699.0,95816.0,96862.0,4076,2013,ISB,,,,,3.9467484687177325,1,,,,,,-1.0,94417.0,,94417.0,,
2025-04-30,96113.0,96134.0,93490.0,94664.0,489,419,DB,,,,,6.278507914548936,0,,,,,,-1.0,94417.0,98080.0,,94417.0,94417.0
2025-05-01,93322.0,94382.0,92226.0,93583.0,50,230,DB,92226.0,,92226.0,low,2.301931164525048,0,,,,,,1.0,98080.0,98080.0,,,
2025-05-02,94242.0,94250.0,93029.0,93289.0,138,206,ISB,,,,,0.2787038128825478,0,,,,,,1.0,98080.0,98080.0,,,
2025-05-05,92830.0,94491.0,92821.0,94033.0,96,151,DB,,,,,1.288909212723193,1,92830.0,97044.0,92821.0,96729.0,1.0,1.0,98080.0,98080.0,,,
2025-05-06,95400.0,96888.0,95400.0,96701.0,12713,16654,DB,96888.0,96888.0,,high,1.345384225602631,0,,,,,,1.0,98080.0,96888.0,,,
2025-05-07,96552.0,96876.0,95536.0,95733.0,8664,17237,ISB,,,,,0.20578066079617272,0,,,,,,1.0,96888.0,96888.0,,,
2025-05-08,96166.0,96700.0,94712.0,96512.0,12448,16305,DB,94712.0,,94712.0,low,1.8650530503978782,0,,,,,,1.0,96888.0,96888.0,,,
2025-05-09,96190.0,97044.0,95900.0,96729.0,7184,16038,DB,97044.0,97044.0,,high,0.8570335680095938,1,,,,,,1.0,96888.0,,94712.0,96888.0,96888.0
2025-05-12,96210.0,96650.0,93867.0,95344.0,17578,17065,DB,93867.0,,93867.0,low,1.549127370364155,1,96210.0,97666.0,93800.0,95318.0,1.0,-1.0,94712.0,97044.0,,94712.0,94712.0
2025-05-13,95965.0,97666.0,95965.0,96767.0,17399,16943,DB,97666.0,97666.0,,high,0.8287949404239048,1,,,,,,1.0,97044.0,,93867.0,97044.0,97044.0
2025-05-14,96650.0,97053.0,95025.0,95466.0,17139,20218,DB,,,,,1.2727272727272727,1,,,,,,-1.0,93867.0,,93867.0,,
2025-05-15,94368.0,96190.0,93800.0,95915.0,14763,20526,DB,93800.0,,93800.0,low,2.2050774122921335,1,,,,,,-1.0,93867.0,97666.0,,93867.0,93867.0
2025-05-16,95751.0,96100.0,94376.0,95318.0,10810,21351,ISB,,,,,0.9882708407645985,1,,,,,,1.0,97666.0,97666.0,,,
2025-05-19,95499.0,96250.0,95313.0,95453.0,8177,20912,DB,,,,,2.5419482816797716,1,95499.0,99365.0,94899.0,98054.0,0.0,1.0,97666.0,97666.0,,,
2025-05-20,95325.0,97330.0,94899.0,97288.0,16005,18661,OSB,,,,,2.9652654935122036,0,,,,,,1.0,97666.0,97666.0,,,
2025-05-21,97447.0,98795.0,97312.0,98245.0,12397,17331,DB,,,,,0.9496666497022749,0,,,,,,1.0,97666.0,,93800.0,97666.0,97666.0
2025-05-22,98780.0,99365.0,96650.0,97796.0,18200,16788,OSB,99365.0,99365.0,,high,1.1718270685917624,0,,,,,,-1.0,93800.0,,93800.0,,
2025-05-23,97897.0,98269.0,96935.0,98054.0,11586,17149,ISB,,,,,1.1412079058477982,1,,,,,,-1.0,93800.0,,93800.0,,
2025-05-26,97878.0,98300.0,97566.0,98003.0,4835,17348,ISB,,,,,0.4459047172025346,1,97878.0,98449.0,96496.0,97015.0,1.0,-1.0,93800.0,,93800.0,,
2025-05-27,97915.0,97949.0,96496.0,97475.0,11428,17939,DB,96496.0,,96496.0,low,1.004360092331367,1,,,,,,-1.0,93800.0,,96496.0,,
2025-05-28,97749.0,98186.0,97105.0,97255.0,10765,18485,DB,,,,,0.15423371549020617,1,,,,,,-1.0,96496.0,,96496.0,,
2025-05-29,97562.0,98449.0,97340.0,97826.0,13326,18264,DB,98449.0,98449.0,,high,0.49680044160039255,1,,,,,,-1.0,96496.0,,96496.0,,
2025-05-30,97252.0,98049.0,96742.0,97015.0,14638,19521,DB,96742.0,,96742.0,low,0.28139978353862805,1,,,,,,-1.0,96496.0,,96742.0,,
2025-06-02,97376.0,101144.0,97122.0,101011.0,29275,17718,DB,,,,,3.850075734325965,0,97376.0,106138.0,97122.0,105459.0,0.0,-1.0,96742.0,,96742.0,,
2025-06-03,99957.0,101350.0,99868.0,101216.0,14379,17601,DB,,,,,1.3318052481821057,0,,,,,,-1.0,96742.0,,96742.0,,
2025-06-04,101331.0,101663.0,100720.0,101380.0,9769,17570,DB,,,,,0.6510159794831328,0,,,,,,-1.0,96742.0,,96742.0,,
