date,open,high,low,close
2018-08-08,27975,28160,27914.7,28127.5
2018-08-07,27979,28010.8,27873.7,27947.9
2018-08-06,27825.6,28020,27825,27960.2
2018-08-03,27510,27800,27475.2,27776.9
2018-08-02,27510.2,27550,27415.3,27450.1
2018-08-01,27778.7,27843,27552.4,27672.2
2018-07-31,27814.9,27839.8,27725,27811.7
2018-07-30,27724.8,27872,27615.2,27854.8
2018-07-27,27503.3,27660,27475,27639.5
2018-07-26,27090,27407.5,27062,27382.8
2018-07-25,27077.7,27121.1,26980.2,27057.7
2018-07-24,27053,27173,26910.5,27031
2018-07-23,26805.2,27099,26766,27072.9
2018-07-20,26825,26992.2,26763.1,26928.9
2018-07-19,26968,27064,26800.2,26841.3
2018-07-18,27150,27233,26886,26930.8
2018-07-17,26690,27114,26690,27088
2018-07-16,26912.7,26950,26705,26740.7
2018-07-13,27040,27069.9,26920,26963
2018-07-12,26880,27153.1,26873,27013.9
2018-07-11,26870,26888.4,26733.4,26781.5
2018-07-10,26775,26925,26756.8,26882.8
2018-07-09,26620,26740,26606.1,26713.4
2018-07-06,26427.9,26584,26402.2,26500.4
2018-07-05,26436.5,26596,26403,26484.5
2018-07-04,26245,26467,26121,26437.5
2018-07-03,26181,26344.5,26165.2,26255
2018-07-02,26350,26350,26065.4,26237.2
2018-06-29,26255.6,26437,26255.6,26349.7
2018-06-28,26417.6,26474.9,26141,26320.9
2018-06-27,26593.4,26597.9,26321,26429
2018-06-26,26511.1,26709,26484.8,26603.7
2018-06-25,26110.8,26797.7,26110.8,26609.8
2018-06-22,26470,26830,26360.2,26788.5
2018-06-21,26677.9,26677.9,26418.1,26471.2
2018-06-20,26286.4,26622.2,26281.2,26597.5
2018-06-19,26350,26350,26205,26258.4
2018-06-18,26340,26436.5,26293.6,26386.2
2018-06-15,26545,26569.5,26301,26410.5
2018-06-14,26600,26647.5,26476.4,26580.9
2018-06-13,26700,26732.6,26573,26637.3
2018-06-12,26575.5,26648,26451,26616.2
2018-06-11,26450,26659,26426.2,26477
2018-06-08,26481,26488.4,26282.8,26438
2018-06-07,26563,26798,26505,26567.4
2018-06-06,26278,26450,26133.5,26391.5
2018-06-05,26140,26329,26079,26257.5
2018-06-04,26890,26899,26136.1,26190.1
2018-06-01,26726,26887,26620,26669.2
2018-05-31,26510.2,27058.2,26338,26933
2018-05-30,25981.5,26356.8,25921,26250.8
2018-05-29,26490,26509.8,26143.8,26183.8
2018-05-28,26240,26635.5,26240,26542.1
2018-05-25,25969,26292.9,25951.2,26242.4
2018-05-24,25640,25970,25601.2,25915.7
2018-05-23,25770,25840,25550,25601
2018-05-22,25775.9,25958.7,25740,25817.2
2018-05-21,25952.1,26070,25722.5,25802
2018-05-18,26033.4,26048,25810.1,25878.1
2018-05-17,26260,26284.9,26023,26072.2
2018-05-16,26319.4,26462.4,26136.8,26218
2018-05-15,26470,26926.7,26380,26512.2
2018-05-14,26412,26565,26322.7,26453.9
2018-05-11,26115,26429.9,26060.4,26400.4
2018-05-10,26133,26220,26031,26072.9
2018-05-09,25967.9,26186.6,25956.3,26128.5
2018-05-08,26035,26070,25933,26043
2018-05-07,25760,25900,25737.1,25846.4
2018-05-04,25679.2,25738,25602,25701.2
2018-05-03,25611,25753.7,25523,25711.8
2018-05-02,25675,25744,25561,25643.7
2018-04-30,25401,25678,25401,25635.9
2018-04-27,25040.7,25477.9,25035.1,25445.2
2018-04-26,24805.2,25053,24805.2,25021.8
2018-04-25,24949.8,24975.8,24705,24780
2018-04-24,24963,25086,24904.6,25013.9
2018-04-23,25135,25148.2,24811.7,24947.2
2018-04-20,25111,25111,24862.5,25006.1
2018-04-19,25199.9,25199.9,25041.5,25148.4
2018-04-18,25410.1,25448.5,25080,25124.9
2018-04-17,25385,25422,25210,25334.5
2018-04-16,25098.6,25347.9,25050.2,25330.6
2018-04-13,25249.7,25395,25075,25219.1
2018-04-12,25099.7,25230,24956,25184.3
2018-04-11,25201.2,25209.7,24933.9,25096.9
2018-04-10,25149,25258.4,25102,25203.5
2018-04-09,24860,25164,24860,25091.7
2018-04-06,24820.1,24974,24675.4,24906.2
2018-04-05,24422,24878.4,24410,24808.9
2018-04-04,24621.8,24699,24115.8,24148.6
2018-04-03,24380,24621.8,24355,24598.2
2018-04-02,24355.5,24465,24155,24431.2
2018-03-28,24300,24375,24226,24274.9
2018-03-27,24424,24518.6,24280.2,24400.2
2018-03-26,23670,24320,23668.5,24280.9
2018-03-23,23832,23860,23631.2,23710.2
