date,open,high,low,close,volume,oi,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2020-10-15,11983.9,11999.35,11663.2,11685.55,16888725,11395200,DB,11663.2,,11663.2,low,0.19126185759334005,0,,,,,,-1.0,10800.0,,11663.2,,
2020-10-16,11721.15,11798.0,11673.25,11765.15,11923275,10517850,ISB,,,,,0.7811205127006425,0,,,,,,-1.0,11663.2,,11663.2,,
2020-10-19,11850.25,11898.9,11818.5,11889.4,8855625,10471050,ISB,,,,,0.5963295035914313,0,11850.25,12016.8,11766.75,11934.35,0.0,-1.0,11663.2,,11663.2,,
2020-10-20,11855.4,11945.0,11831.05,11895.9,9290175,10825350,ISB,,,,,0.5451458065383903,0,,,,,,-1.0,11663.2,,11663.2,,
2020-10-21,11951.25,12016.8,11766.75,11927.45,16178550,10743825,DB,12016.8,12016.8,,high,1.3473122922334675,0,,,,,,-1.0,11663.2,,11663.2,,
2020-10-22,11889.4,11935.0,11827.6,11898.65,11231250,10365150,ISB,,,,,0.597126564778351,1,,,,,,-1.0,11663.2,,11663.2,,
2020-10-23,11934.0,11979.85,11907.75,11934.35,7686900,10387350,ISB,,,,,0.2228860390385766,1,,,,,,-1.0,11663.2,,11663.2,,
2020-10-26,11933.05,11950.35,11712.0,11778.4,12008700,9075300,DB,,,,,0.5637438022142196,1,11933.05,11950.35,11514.75,11638.4,1.0,-1.0,11663.2,,11663.2,,
2020-10-27,11810.9,11893.7,11723.0,11879.05,11183475,7881000,ISB,,,,,1.3136572369002513,0,,,,,,-1.0,11663.2,,11663.2,,
2020-10-28,11881.4,11917.6,11675.1,11721.5,14846550,6189600,DB,,,,,0.39585377298127067,0,,,,,,-1.0,11663.2,,11663.2,,
2020-10-29,11630.0,11741.6,11597.0,11668.75,12321375,3070650,DB,,,,,0.6148901981788966,0,,,,,,-1.0,11663.2,12016.8,,11663.2,11663.2
2020-10-30,11649.95,11746.0,11514.75,11638.4,15960450,10978125,OSB,11514.75,,11514.75,low,1.0624312620291418,0,,,,,,1.0,12016.8,12016.8,,,
2020-11-02,11683.15,11734.95,11560.1,11681.55,12421200,9996900,ISB,,,,,1.0396736734422993,1,11683.15,12279.0,11560.1,12261.45,0.0,1.0,12016.8,12016.8,,,
2020-11-03,11749.65,11844.0,11731.2,11824.95,11106900,10022625,DB,,,,,0.7928151916075755,0,,,,,,1.0,12016.8,12016.8,,,
2020-11-04,11823.65,11945.05,11744.0,11922.85,16002675,10511850,DB,,,,,1.5000608076089221,0,,,,,,1.0,12016.8,12016.8,,,
2020-11-05,12089.65,12155.9,12031.35,12143.3,12360525,11304225,DB,,,,,0.9219075539597879,0,,,,,,1.0,12016.8,,11514.75,12016.8,12016.8
2020-11-06,12159.9,12279.0,12135.7,12261.45,11699175,11202075,DB,,,,,1.0255720163602184,0,,,,,,-1.0,11514.75,,11514.75,,
2020-11-09,12393.65,12484.7,12376.65,12467.25,10407750,11463375,DB,,,,,0.726703964386696,0,12393.65,12808.0,12376.65,12788.9,0.0,-1.0,11514.75,,11514.75,,
2020-11-10,12582.65,12667.55,12482.6,12659.1,15317475,11733675,DB,,,,,1.3942539359038162,0,,,,,,-1.0,11514.75,,11514.75,,
2020-11-11,12692.0,12774.75,12577.75,12755.05,16030125,12109275,DB,,,,,1.3900376713536935,0,,,,,,-1.0,11514.75,,11514.75,,
2020-11-12,12710.05,12748.85,12638.0,12706.0,10406550,11700675,ISB,,,,,0.5351802298126869,0,,,,,,-1.0,11514.75,,11514.75,,
2020-11-13,12625.1,12765.4,12612.1,12753.4,9840300,11789250,ISB,,,,,1.1079398434927101,1,,,,,,-1.0,11514.75,,11514.75,,
2020-11-14,12805.0,12808.0,12760.0,12788.9,1876575,11885550,DB,,,,,0.22597721461579678,1,,,,,,-1.0,11514.75,,11514.75,,
2020-11-17,12897.7,12906.8,12801.0,12881.85,8662125,11636625,DB,,,,,0.6276272429814069,0,,,,,,-1.0,11514.75,,11514.75,,
